link,date
https://samara.cian.ru/sale/flat/292243402/,2024-03-19 13:25:00
https://samara.cian.ru/sale/flat/299687350/,2024-03-19 11:25:00
https://samara.cian.ru/sale/flat/297041728/,2024-03-11 18:52:00
https://samara.cian.ru/sale/flat/297149394/,2024-03-18 11:55:00
https://samara.cian.ru/sale/flat/299022057/,2024-03-19 11:14:00
https://samara.cian.ru/sale/flat/299614773/,2024-03-14 21:10:00
https://samara.cian.ru/sale/flat/298837623/,2024-03-19 11:53:00
https://samara.cian.ru/sale/flat/298976012/,2024-03-19 11:53:00
https://samara.cian.ru/sale/flat/298680327/,2024-03-06 08:01:00
https://samara.cian.ru/sale/flat/299762954/,2024-03-19 12:23:00
https://samara.cian.ru/sale/flat/298564471/,2024-03-18 21:19:00
https://samara.cian.ru/sale/flat/299437886/,2024-03-10 21:25:00
https://samara.cian.ru/sale/flat/290093171/,2024-03-18 13:25:00
https://samara.cian.ru/sale/flat/298448931/,2024-03-18 14:10:00
https://samara.cian.ru/sale/flat/299676547/,2024-03-16 20:04:00
https://samara.cian.ru/sale/flat/298813018/,2024-03-19 01:06:00
https://samara.cian.ru/sale/flat/299714865/,2024-03-18 11:26:00
https://samara.cian.ru/sale/flat/297075614/,2024-03-11 14:25:00
https://samara.cian.ru/sale/flat/293888729/,2024-03-15 11:37:00
https://samara.cian.ru/sale/flat/296718648/,2024-03-18 14:10:00
https://samara.cian.ru/sale/flat/296555320/,2024-03-09 16:46:00
https://samara.cian.ru/sale/flat/292304819/,2024-03-18 14:10:00
https://samara.cian.ru/sale/flat/297528604/,2024-03-18 14:10:00
https://samara.cian.ru/sale/flat/299297051/,2024-03-09 12:24:00
https://samara.cian.ru/sale/flat/298527616/,2024-03-18 19:10:00
https://samara.cian.ru/sale/flat/293843028/,2024-01-18 07:51:00
https://samara.cian.ru/sale/flat/299239222/,2024-03-16 17:50:00
https://samara.cian.ru/sale/flat/299706978/,2024-03-18 08:49:00
https://samara.cian.ru/sale/flat/297812838/,2024-03-14 21:02:00
https://samara.cian.ru/sale/flat/289178256/,2024-12-08 16:59:00
https://samara.cian.ru/sale/flat/298411795/,2024-03-14 10:21:00
