link,date
https://ufa.cian.ru/sale/flat/294905445/,2024-03-18 22:20:00
https://ufa.cian.ru/sale/flat/298716590/,2024-03-19 07:40:00
https://ufa.cian.ru/sale/flat/298003001/,2024-03-15 21:25:00
https://ufa.cian.ru/sale/flat/299316630/,2024-03-19 08:40:00
https://ufa.cian.ru/sale/flat/292219822/,2024-03-02 10:45:00
https://ufa.cian.ru/sale/flat/297918200/,2024-03-18 11:55:00
https://ufa.cian.ru/sale/flat/298742939/,2024-03-04 07:20:00
https://ufa.cian.ru/sale/flat/280444166/,2024-03-12 12:36:00
https://ufa.cian.ru/sale/flat/298990495/,2024-03-18 11:40:00
https://ufa.cian.ru/sale/flat/299521455/,2024-03-12 18:22:00
https://ufa.cian.ru/sale/flat/296496715/,2024-03-18 10:37:00
https://ufa.cian.ru/sale/flat/296409288/,2024-03-18 23:25:00
https://ufa.cian.ru/sale/flat/299529556/,2024-03-18 11:40:00
https://ufa.cian.ru/sale/flat/298809634/,2024-03-18 11:40:00
https://ufa.cian.ru/sale/flat/299665555/,2024-03-18 15:56:00
https://ufa.cian.ru/sale/flat/297645328/,2024-03-18 11:40:00
https://ufa.cian.ru/sale/flat/294438101/,2024-03-11 12:22:00
https://ufa.cian.ru/sale/flat/299075446/,2024-03-12 16:26:00
https://ufa.cian.ru/sale/flat/298090954/,2024-03-04 12:18:00
https://ufa.cian.ru/sale/flat/295772818/,2024-02-12 21:45:00
https://ufa.cian.ru/sale/flat/296940741/,2024-03-18 12:18:00
https://ufa.cian.ru/sale/flat/294491203/,2024-03-15 10:20:00
https://ufa.cian.ru/sale/flat/277836185/,2024-03-13 20:00:00
https://ufa.cian.ru/sale/flat/296695377/,2024-03-02 17:53:00
https://ufa.cian.ru/sale/flat/298718104/,2024-03-18 09:12:00
https://ufa.cian.ru/sale/flat/281595829/,2024-03-18 20:10:00
https://ufa.cian.ru/sale/flat/291715454/,2024-03-18 19:55:00
https://ufa.cian.ru/sale/flat/298375206/,2024-03-10 12:23:00
https://ufa.cian.ru/sale/flat/291670076/,2024-03-18 10:23:00
https://ufa.cian.ru/sale/flat/290956124/,2024-03-18 20:10:00
https://ufa.cian.ru/sale/flat/298290776/,2024-03-08 12:13:00
https://ufa.cian.ru/sale/flat/288539923/,2024-03-18 19:55:00
https://ufa.cian.ru/sale/flat/282947238/,2024-03-14 12:20:00
https://ufa.cian.ru/sale/flat/299242035/,2024-03-14 09:48:00
https://ufa.cian.ru/sale/flat/282549659/,2024-03-18 19:55:00
https://ufa.cian.ru/sale/flat/290711527/,2024-03-18 20:10:00
